benchmark,run,result
ackermann,baseline,1464231
armstrong,baseline,133
bbs,baseline,137
bin-search,baseline,358
binary-fmt,baseline,100
binpow,baseline,105
bitshift,baseline,167
bitwise-ops,baseline,1690
braille,baseline,325
catalan,baseline,659378
check-primes,baseline,8468
collatz,baseline,169
combination,baseline,178
dayofweek,baseline,269
delannoy,baseline,5748752
digital-root,baseline,247
euclid,baseline,563
fact,baseline,229
factors,baseline,72
fib_recursive,baseline,2693
fitsinside,baseline,10
fizz-buzz,baseline,3652
gcd,baseline,46
gebmm,baseline,3011
geometric-sum,baseline,35
gpf,baseline,759
grad_desc,baseline,229
graycode,baseline,1259
hamming,baseline,117
hanoi,baseline,99
is-decreasing,baseline,127
karatsuba,baseline,1548
lcm,baseline,2326
legendre,baseline,153
loopfact,baseline,116
mccarthy91,baseline,1385
mod_inv,baseline,558
mod_pow,baseline,243
montgomery,baseline,17
mountain,baseline,100
orders,baseline,5352
palindrome,baseline,298
pascals-row,baseline,146
perfect,baseline,232
permutation,baseline,130
primes-between,baseline,574100
pythagorean_triple,baseline,61518
quadratic,baseline,785
recfact,baseline,104
rectangles-area-difference,baseline,14
relative-primes,baseline,1923
reverse,baseline,46
rot13,baseline,8
sqrt_bin_search,baseline,744
squares,baseline,153
sum-bits,baseline,73
sum-check,baseline,5018
sum-digits,baseline,219
sum-divisible-by-m,baseline,16
sum-divisors,baseline,159
sum-of-cubes,baseline,8
sum-sq-diff,baseline,3038
sum-to-ten,baseline,143
tail-call,baseline,missing
totient,baseline,253
triangle,baseline,188
up-arrow,baseline,252
